COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Colombia,MAY2014,May 2014,2014,5,May,Solar,0.67,3,8.947,,0.0001168791657828
Colombia,MAY2014,May 2014,2014,5,May,Total combustible fuels,2092.576,7,21699.775,,0.3650425928613694
Colombia,MAY2014,May 2014,2014,5,May,Coal,547.723,8,5152.09,,0.0955483691344103
Colombia,MAY2014,May 2014,2014,5,May,Oil,172.284,9,1918.191,,0.0300543435786935
Colombia,MAY2014,May 2014,2014,5,May,Natural gas,1274.632,10,13365.401,,0.2223551117015932
Colombia,MAY2014,May 2014,2014,5,May,Combustible renewables,97.937,11,1264.093,,0.0170847684466723
Colombia,MAY2014,May 2014,2014,5,May,Net electricity production,5732.416,14,69027.299,,1.0
Colombia,MAY2014,May 2014,2014,5,May,Total imports,0.052,15,47.0,,9.071218836874364e-06
Colombia,MAY2014,May 2014,2014,5,May,Total exports,21.886,16,849.0,,0.0038179364512275
Colombia,MAY2014,May 2014,2014,5,May,Electricity supplied,5710.582,17,68225.299,,0.9961911347676092
Colombia,MAY2014,May 2014,2014,5,May,Distribution losses,600.044,19,5850.0,,0.1046755853029507
Colombia,MAY2014,May 2014,2014,5,May,Final consumption,5110.537,20,62375.299,,0.8915153750181425
Colombia,MAY2014,May 2014,2014,5,May,Electricity trade,21.834,21,802.0,,0.0038088652323906
Colombia,MAY2014,May 2014,2014,5,May,Renewables,3737.776,22,48591.614,,0.6520420011387869
Colombia,MAY2014,May 2014,2014,5,May,Non-renewables,1994.639,23,20435.682,,0.347957824414697
Colombia,MAY2014,May 2014,2014,5,May,Others,172.284,24,1918.191,,0.0300543435786935
Colombia,MAY2014,May 2014,2014,5,May,Other renewables aggregated,97.937,25,1264.093,,0.0170847684466723
Colombia,MAY2014,May 2014,2014,5,May,Low carbon,3737.776,26,48591.614,,0.6520420011387869
Colombia,MAY2014,May 2014,2014,5,May,Fossil fuels,1994.639,27,20435.682,,0.347957824414697
Colombia,JUN2014,June 2014,2014,6,June,Hydro,3513.389,1,47249.092,,0.6337168582307062
Colombia,JUN2014,June 2014,2014,6,June,Wind,8.085,2,69.482,,0.0014583072921316
Colombia,JUN2014,June 2014,2014,6,June,Solar,0.697,3,8.947,,0.0001257192557347
Colombia,JUN2014,June 2014,2014,6,June,Total combustible fuels,2021.928,7,21699.775,,0.3646991152214273
Colombia,JUN2014,June 2014,2014,6,June,Coal,448.719,8,5152.09,,0.0809363252712478
Colombia,JUN2014,June 2014,2014,6,June,Oil,152.801,9,1918.191,,0.0275610157755119
Colombia,JUN2014,June 2014,2014,6,June,Natural gas,1309.421,10,13365.401,,0.2361828315114863
Colombia,JUN2014,June 2014,2014,6,June,Combustible renewables,110.987,11,1264.093,,0.0200189426631811
Colombia,JUN2014,June 2014,2014,6,June,Net electricity production,5544.099,14,69027.299,,1.0
Colombia,JUN2014,June 2014,2014,6,June,Total imports,8.175,15,47.0,,0.0014745407684819
Colombia,JUN2014,June 2014,2014,6,June,Total exports,22.132,16,849.0,,0.0039919922064883
Colombia,JUN2014,June 2014,2014,6,June,Electricity supplied,5530.142,17,68225.299,,0.9974825485619936
Colombia,JUN2014,June 2014,2014,6,June,Distribution losses,419.762,19,5850.0,,0.0757132944415314
Colombia,JUN2014,June 2014,2014,6,June,Final consumption,5110.381,20,62375.299,,0.9217694344924215
Colombia,JUN2014,June 2014,2014,6,June,Electricity trade,13.957,21,802.0,,0.0025174514380064
Colombia,JUN2014,June 2014,2014,6,June,Renewables,3633.158,22,48591.614,,0.6553198274417538
Colombia,JUN2014,June 2014,2014,6,June,Non-renewables,1910.941,23,20435.682,,0.3446801725582462
Colombia,JUN2014,June 2014,2014,6,June,Others,152.801,24,1918.191,,0.0275610157755119
Colombia,JUN2014,June 2014,2014,6,June,Other renewables aggregated,110.987,25,1264.093,,0.0200189426631811
